school_name,link,address,category,rating,last_report_date,urn,is_religious
St Luke's Primary School,/provider/21/102766,"Ruscoe Road, West Ham, London, E16 1JB",Primary,Good,09 December 2019,102766.0,True
Faraday School,/provider/27/135989,"Old Gate House, 7 Trinity Buoy Wharf, London, E14 0FH",Independent School,Outstanding,07 July 2010,135989.0,False
Hallsville Primary School,/provider/21/145363,"Radland Road, London, E16 1LN",Primary,Outstanding,09 March 2023,145363.0,False
Ravenscroft Primary School,/provider/21/144140,"Carson Road, London, E16 4BD",Primary,,20 December 2019,144140.0,False
Keir Hardie Primary School,/provider/21/102725,"13 Robertson Road, Canning Town, London, E16 1FZ",Primary,Outstanding,03 May 2024,102725.0,False
Parkside Primary School,/provider/21/103081,"21 Wellington Avenue, Chingford, E4 6RE",Primary,Good,05 May 2023,103081,False
Chingford CofE Primary School,/provider/21/103084,"King's Road, London, E4 7EY",Primary,Good,15 March 2019,103084,True
St Mary's Catholic Primary School,/provider/21/103085,"Station Road, Chingford, London, E4 7BJ",Primary,Good,06 March 2024,103085,True
Yardley Primary School,/provider/21/136364,"Hawkwood Crescent, London, E4 7PH",Primary,Outstanding,22 November 2023,136364,False
Hawkswood  (Therapeutic),/provider/22/137677,"Antlers Hill, Chingford, E4 7RT",Pupil Referral Unit,Good,19 January 2024,137677,False
Hawkswood Primary PRU,/provider/22/135558,"Antlers Hill, Chingford, London, E4 7RT",Pupil Referral Unit,Outstanding,29 April 2024,135558,False
Lime Academy Larkswood,/provider/21/141734,"New Road, London, E4 8ET",Primary,Good,27 September 2023,141734,False
Longshaw Primary Academy,/provider/21/147179,"Longshaw Road, Chingford, London, E4 6LH",Primary,Good,22 November 2023,147179,False
Whitehall Primary School,/provider/21/103036,"90 Normanton Park, London, E4 6ES",Primary,Good,21 March 2023,103036,False
Chase Lane Primary School,/provider/21/103032,"York Road, Chingford, London, E4 8LA",Primary,Good,03 February 2023,103032,False
Ainslie Wood Primary School,/provider/21/130343,"140 Ainslie Wood Road, Waltham Forest, London, E4 9DD",Primary,Good,29 September 2023,130343,False
Oasis Academy Hadley,/provider/28/135958,"143 South Street, Enfield, Middlesex, EN3 4PX",Other schools,Good,11 November 2021,135958,False
Delta Primary School,/provider/21/145955,"Nightingale Road, 206A, Edmonton, Enfield, N9 8PT",Primary,Requires Improvement,29 November 2022,145955,False
Alma Primary School,/provider/21/145984,"Alma Road, Ponders End, Enfield, EN3 4UQ",Primary,Good,17 March 2023,145984,False
Woodpecker Hall Primary Academy,/provider/21/136952,"Cuckoo Hall Lane, Edmonton, London, N9 8BF",Primary,Good,16 July 2024,136952,False
Salisbury Manor Primary School,/provider/21/147180,"4 Burnside Avenue, LONDON, E4 8YJ",Primary,Good,04 December 2023,147180,False
Burnside Secondary PRU,/provider/22/137328,"Burnside Avenue, 2 Burnside Avenue, Chingford, London, E4 8YJ",Pupil Referral Unit,Good,21 September 2022,137328,False
Eldon Primary School,/provider/21/150663,"Eldon Road, Edmonton, London, N9 8LG",Primary,,06 April 2024,150663,False
Handsworth Primary School,/provider/21/103059,"Handsworth Avenue, Highams Park, London, E4 9PJ",Primary,Good,22 September 2023,103059,False
St Matthew's CofE Primary School,/provider/21/102054,"St Matthew's C of E Primary School, South Street, Enfield, EN3 4LA",Primary,Good,26 September 2023,102054,True
Selwyn Primary School,/provider/21/143383,"105 Selwyn Avenue, London, E4 9NE",Primary,Outstanding,13 July 2022,143383,False
Phoenix Academy,/provider/27/134580,"85 Bounces Road, Edmonton, London, N9 8LD",Independent School,Good,21 September 2022,134580,False
St Mary's Catholic Primary School,/provider/21/102036,"Durants Road, Ponders End, Enfield, EN3 7DE",Primary,Good,20 December 2023,102036,True
Joseph Clarke School,/provider/25/140197,"Vincent Road, London, E4 9PP",Special School,Good,23 December 2022,140197,False
St Antony's Catholic Primary School,/provider/21/102844,"Mornington Road, Woodford Green, Essex, IG8 0TX",Primary,Good,27 September 2023,102844,True
Houndsfield Primary School,/provider/21/146728,"Ripon Road, Edmonton, London, N9 7RE",Primary,Good,20 July 2023,146728,False
Oakhill Primary School,/provider/21/103069,"Alders Avenue, Woodford Green, Essex, IG8 9PY",Primary,Outstanding,11 November 2013,103069,False
St Edmund's Catholic Primary School,/provider/21/102037,"Hertford Road, Edmonton, N9 7HJ",Primary,Good,15 May 2023,102037,True
Avon House Preparatory School,/provider/27/102872,"490 High Road, Woodford Green, Essex, IG8 0PN",Independent School,Good,17 November 2009,102872,False
Woodford Green Primary School,/provider/21/146681,"Sunset Avenue, Woodford Green, Essex, IG8 0ST",Primary,,16 June 2023,146681,False
Wells Primary School,/provider/21/102831,"Barclay Oval, Woodford Green, Essex, IG8 0PP",Primary,Outstanding,03 July 2014,102831,False
Brimsdown Primary School,/provider/21/143202,"Green Street, Enfield, Middlesex, EN3 7NA",Primary,Good,30 January 2024,143202,False
"St John's Church of England Voluntary Controlled Primary School, Buckhurst Hill",/provider/21/145599,"High Road, Buckhurst Hill, Essex, IG9 5RX",Primary,,21 September 2022,145599,True
Waverley School,/provider/25/102070,"105 The Ride, Enfield, Middlesex, EN3 7DL",Special School,Outstanding,23 April 2019,102070,False
Alternative Centre of Education,/provider/27/143036,"45/51 Market Square, Edmonton Green, London, London, N9 0TZ",Independent School,Good,12 October 2021,143036,False
Kingfisher Hall Primary Academy,/provider/21/138203,"40 The Ride, Enfield, Middlesex, EN3 7GB",Primary,Outstanding,22 September 2014,138203,False
Southbury Primary School,/provider/21/102014,"Swansea Road, Enfield, Middlesex, EN3 4JG",Primary,Good,15 September 2023,102014,False
Galliard Primary School,/provider/21/146862,"Galliard Road, London, N9 7PE",Primary,Outstanding,26 September 2023,146862,False
Meridian Angel Primary School,/provider/21/141017,"Albany Road, London, Edmonton, N18 2DX",Primary,Good,14 July 2023,141017,True
Chapel End Infant School and Early Years Centre,/provider/21/103052,"Beresford Road, London, E17 4LN",Primary,Good,16 November 2022,103052,False
Walthamstow Primary Academy,/provider/21/141748,"Billet Road, Waltham Forest, Walthamstow, London, E17 5DP",Primary,Good,18 March 2024,141748,False
Brettenham Primary School,/provider/21/146946,"Brettenham Road, London, N18 2ET",Primary,Good,20 October 2023,146946,False
Fleecefield Primary School,/provider/21/146935,"Brettenham Road, London, N18 2ES",Primary,Good,13 November 2023,146935,False
Chapel End Junior Academy,/provider/21/139259,"Roberts Road, Walthamstow, London, E17 4LS",Primary,Good,01 April 2019,139259,False
Lime Academy Hornbeam,/provider/25/138454,"Folly Lane, Walthamstow, London, E17 5NT",Special School,Good,29 January 2024,138454,False
Roger Ascham Primary School,/provider/21/136362,"1 Wigton Road, Walthamstow, London, E17 5HU",Primary,Good,20 March 2019,136362,False
Thorpe Hall Primary School,/provider/21/103060,"123 Hale End Road, Walthamstow, London, E17 4DP",Primary,Good,27 January 2023,103060,False
Churchfield Primary School,/provider/21/145522,"Latymer Road, Edmonton, London, N9 9PL",Primary,Good,09 February 2023,145522,False
St James CofE Primary School,/provider/21/102033,"Frederick Crescent, Enfield, EN3 7HH",Primary,Requires Improvement,16 January 2023,102033,True
Raynham Primary School,/provider/21/146882,"Raynham Avenue, London, N18 2JQ",Primary,,14 July 2023,146882,False
Bush Hill Park Primary School,/provider/21/102024,"Bush Hill Park Primary School, Main Avenue, Bush Hill Park, Enfield, EN1 1DS",Primary,Good,29 September 2023,102024,False
Whittingham Primary Academy,/provider/21/139317,"Higham Hill Road, Walthamstow, London, E17 5QX",Primary,Good,09 March 2020,139317,False
Whitefield School,/provider/25/140795,"Macdonald Road, Walthamstow, London, E17 4AZ",Special School,Good,07 July 2023,140795,False
Southwold Primary School,/provider/21/100242,"Detmold Road, Clapton, Hackney, E5 9NL",Primary,Outstanding,28 November 2019,100242,False
Leaways School,/provider/27/137808,"18 Theydon Road, Clapton, London, E5 9NZ",Independent School,Good,04 July 2023,137808,False
Baden-Powell School,/provider/21/100255,"Ferron Road, London, E5 8DN",Primary,Good,05 November 2018,100255,False
St Scholastica's Catholic Primary School,/provider/21/100274,"KENNINGHALL ROAD, CLAPTON, LONDON, E5 8BS",Primary,Good,19 November 2019,100274,True
Ohr Emes,/provider/27/147312,"148 Upper Clapton Road, E5 9JZ",Independent School,Requires Improvement,19 January 2024,147312,False
Harrington Hill Primary School,/provider/21/100256,"Mount Pleasant Lane, LONDON, E5 9JG",Primary,Good,11 December 2023,100256,False
Nightingale Primary School,/provider/21/100254,"Tiger Way, Hackney, London, E5 8NA",Primary,Good,13 July 2023,100254,False
Al-Falah Primary School,/provider/27/133449,"48 Kenninghall Road, Clapton, London, E5 8BY",Independent School,Good,09 March 2020,133449,False
Stormont House School,/provider/25/100307,"Downs Park Road, London, E5 8NP",Special School,Outstanding,10 June 2024,100307,False
Benthal Primary School,/provider/21/100260,"Benthal Road, Hackney, London, N16 7AU",Primary,Good,20 September 2023,100260,False
Beis Trana Girls' School,/provider/27/131342,"186 Upper Clapton Road, London, E5 9DH",Independent School,Inadequate,14 July 2023,131342,False
Northwold Primary School,/provider/21/141576,"Northwold Road, Clapton, London, E5 8RN",Primary,Good,19 June 2023,141576,False
